"ModelType","Name","Type","Body","Head","Hands","Legs","Feet"
"289","Karakul Ram","Monster","","","","",""
"290","Karakul Ewe (bell)","Monster","","","","",""
"291","Karakul Ewe","Monster","","","","",""
"292","Slime","Monster","","","","",""
"293","Slime (yellow)","Unknown","","","","",""
"294","Slime (purple)","Unknown","","","","",""
"295","Rheum","Monster","","","","",""
"296","Dark Matter Slime","Monster","","","","",""
"297","Mandragora","Monster","","","","",""
"298","Infernal Nail","Monster","","","","",""
"299","Field Generator A","Monster","","","","",""
"300","Field Generator B","Monster","","","","",""
"301","Monolith","Monster","","","","",""
"302","Garuda's Plume","Monster","","","","",""
"303","Garuda","Monster","","","","",""
"304","Ifrit","Monster","","","","",""
"305","Leviathan","Monster","","","","",""
"306","Titan","Monster","","","","",""
"307","Ultima Weapon","Monster","","","","",""
"308","Ultima Weapon (no wings)","Monster","","","","",""
"309","Ultima Weapon (copy)","Monster","","","","",""
"310","Ultima Weapon (no wings/copy","Monster","","","","",""
"311","Sleipnir","Monster","","","","",""
"312","Shiva (weapons)","Monster","","","","",""
"313","Vishap","Monster","","","","",""
"314","Investigate","Unknown","","","","",""
"315","Shadowlurker","Monster","","","","",""
"316","ADS (Black/Red)","Monster","","","","",""
"317","ADS (Black/White)","Monster","","","","",""
"318","ADS (Black/Purple)","Monster","","","","",""
"319","ADS (Black/Blue)","Monster","","","","",""
"320","ADS (Black/Teal)","Monster","","","","",""
"321","ADS (Black/Green)","Monster","","","","",""
"322","ADS (Black/Yellow)","Monster","","","","",""
"323","ADS (Black/Orange)","Monster","","","","",""
"324","Proto Ultima Arm Unit","Monster","","","","",""
"325","BUGGED - DO NOT CLICK","Unknown","","","","",""
"326","Exdeath","Monster","","","","",""
"327","Omega","Monster","","","","",""
"328","Morbol Seedling","Monster","","","","",""
"329","Kraken","Monster","","","","",""
"330","Investigate","Unknown","","","","",""
"331","Magitek Death Claw","Monster","","","","",""
"332","Allagan Death Claw","Monster","","","","",""
"333","Diabolos","Monster","","","","",""
"334","Investigate","Unknown","","","","",""
"335","Bahamut","Monster","","","","",""
"336","Bahamut (blue)","Monster","","","","",""
"337","Phoenix","Monster","","","","",""
"338","Nidhogg (Hraesvelgr's left eye)","Monster","","","","",""
"339","Hraesvelgr","Monster","","","","",""
"340","Beta Zaghnal","Monster","","","","",""
"341","FFXIII Behemoth (white)","Monster","","","","",""
"342","FFXIII Behemoth (red)","Monster","","","","",""
"343","Investigate","Unknown","","","","",""
"344","Temple Mummy","Monster","","","","",""
"345","Ramuh","Monster","","","","",""
"346","Diabolos (Sc�thach)","Monster","","","","",""
"347","Glasya Labolas","Monster","","","","",""
"348","Scylla","Monster","","","","",""
"349","Xande","Monster","","","","",""
"350","Cerberus","Monster","","","","",""
"351","Angra�Mainyu","Monster","","","","",""
"352","Cloud of Darkness","Monster","","","","",""
"353","Gilgamesh (six weapons)","Monster","","","","",""
"354","Ultros","Monster","","","","",""
"355","Stoneshell","Monster","","","","",""
"356","Pugil","Monster","","","","",""
"357","Dark Matter Pugil","Monster","","","","",""
"358","Bulb","Monster","","","","",""
"359","Hornet","Monster","","","","",""
"360","Colibri","Monster","","","","",""
"361","Clockwork Dreadnaught","Monster","","","","",""
"362","Dragonfly","Monster","","","","",""
"363","Vodoriga","Monster","","","","",""
"364","Uragnite","Monster","","","","",""
"365","Taurus","Monster","","","","",""
"366","Adjudicator","Monster","","","","",""
"367","Qarn Face","Monster","","","","",""
"368","Qarn Face (copy)","Unknown","","","","",""
"369","Qarn Face (copy)","Unknown","","","","",""
"370","Qarn Face (copy)","Unknown","","","","",""
"371","Shield Dragon","Character","","","","",""
"372","Baritine Croc","Character","","","","",""
"373","Feral Croc","Character","","","","",""
"374","Killer Mantis","Character","","","","",""
"375","Dark Matter Mantis","Character","","","","",""
"376","Preying Mantis","Character","","","","",""
"377","Aevis","Character","","","","",""
"378","Mirrorknight","Character","","","","",""
"379","Dreadknight","Character","","","","",""
"380","Rook","Character","","","","",""
"381","Fire Sprite","Character","","","","",""
"382","Ice Sprite","Character","","","","",""
"383","Wind Sprite","Character","","","","",""
"384","Lightning Sprite","Character","","","","",""
"385","Water Sprite","Character","","","","",""
"386","Earth Sprite","Character","","","","",""
"387","Clockwork Soldier","Character","","","","",""
"388","Clockwork Knight","Character","","","","",""
"389","Orb (Lightning / White Center)","Character","","","","",""
"390","Orb (Blue / Guildhest Water Bubble?)","Character","","","","",""
"391","Orb (Purple / Guildhest Water Bubble?)","Character","","","","",""
"392","Bubble (ground)","Character","","","","",""
"393","Maelstrom Cannon","Character","","","","",""
"394","Adder Cannon [Investigate]","Character","","","","",""
"395","Flame Cannon","Character","","","","",""
"396","Gremlin","Monster","","","","",""
"397","Gremlin (red)","Unknown","","","","",""
"398","Gremlin (green)","Unknown","","","","",""
"399","Gremlin (yellow)","Unknown","","","","",""
"400","FFXIII Bahamut","Monster","","","","",""
"401","Anubys","Unknown","","","","",""
"402","Fallen Neurolink","Unknown","","","","",""
"403","Flying Ice Dragon","Unknown","","","","",""
"404","Missile Carrier Claw (Castrum)","Unknown","","","","",""
"405","Missile Launcher (Castrum)","Unknown","","","","",""
"406","FFXI Shantotto","Unknown","","","","",""
"407","Eos","Unknown","","","","",""
"408","Selene","Unknown","","","","",""
"409","Emerald Carbuncle","Unknown","","","","",""
"410","Ruby Carbuncle","Unknown","","","","",""
"411","Sapphire Carbuncle","Unknown","","","","",""
"412","Topaz Carbuncle","Unknown","","","","",""
"413","Diamond Carbuncle","Unknown","","","","",""
"414","Obsidian Carbuncle","Unknown","","","","",""
"415","Ifrit-Egi","Unknown","","","","",""
"416","Titan-Egi","Unknown","","","","",""
"417","Garuda-Egi","Unknown","","","","",""
"418","Ramuh-Egi","Unknown","","","","",""
"419","Mammet 001","Minion","","","","",""
"420","Mammet 003L","Minion","","","","",""
"421","Mammet 003G","Minion","","","","",""
"422","Mammet 003U","Minion","","","","",""
"423","Wayward Hatchling","Minion","","","","",""
"424","Storm Hatchling","Minion","","","","",""
"425","Serpent Hatchling","Minion","","","","",""
"426","Flame Hatchling","Minion","","","","",""
"427","Cherry Bomb","Minion","","","","",""
"428","Baby Behemoth","Minion","","","","",""
"429","Morbol Seedling","Minion","","","","",""
"430","Cait Sith Doll","Minion","","","","",""
"431","Tiny Rat","Minion","","","","",""
"432","Baby Bun","Minion","","","","",""
"433","Chigoe Larva","Minion","","","","",""
"434","Bluebird","Minion","","","","",""
"435","Wide-eyed Fawn","Minion","","","","",""
"436","Infant Imp","Minion","","","","",""
"437","Coeurl Kitten","Minion","","","","",""
"438","Black Coeurl","Minion","","","","",""
"440","Gravel Golem","Minion","","","","",""
"441","Wind-Up Tonberry","Minion","","","","",""
"442","Tiny Tortoise","Minion","","","","",""
"443","Baby Raptor","Minion","","","","",""
"444","Baby Bat","Minion","","","","",""
"445","Tiny Bulb","Minion","","","","",""
"446","Dust Bunny","Minion","","","","",""
"447","Wind-Up Dullahan","Minion","","","","",""
"448","Gigantpole","Minion","","","","",""
"449","Pudgy Puk","Minion","","","","",""
"450","Buffalo Calf","Minion","","","","",""
"451","Cactuar Cutting","Minion","","","","",""
"452","Smallshell","Minion","","","","",""
"453","Wolf Pup","Minion","","","","",""
"454","Beady Eye","Minion","","","","",""
"455","Fledgling Dodo","Minion","","","","",""
"456","Coblyn Larva","Minion","","","","",""
"457","Wind-Up Aldgoat","Minion","","","","",""
"458","Fledgling Apkallu","Minion","","","","",""
"459","Goobbue Sproutling","Minion","","","","",""
"460","Bite-sized Pudding","Minion","","","","",""
"461","Model Vanguard","Minion","","","","",""
"462","Demon Brick","Minion","","","","",""
"463","Mini Mole","Minion","","","","",""
"464","Tender Lamb","Minion","","","","",""
"465","Slime Puddle","Minion","","","","",""
"466","Kidragora","Minion","","","","",""
"467","Wind-Up Goblin","Minion","","","","",""
"468","Wind-Up Sylph","Minion","","","","",""
"469","Wind-Up Cursor","Minion","","","","",""
"470","Wind-Up Airship","Minion","","","","",""
"471","Wind-Up Qiqirn","Minion","","","","",""
"472","Wind-Up Dalamud","Minion","","","","",""
"474","Chocobo Carriage","Unknown","","","","",""
"477","Gaius van Baelsar - X Slash","Unknown","","","","",""
"478","Tornado","Unknown","","","","",""
"485","Spider egg covered by plant","Unknown","","","","",""
"486","Spider egg covered by plant - different model","Unknown","","","","",""
"487","Weird plant","Unknown","","","","",""
"488","Brown Crate","Unknown","","","","",""
"489","Sandbag","Unknown","","","","",""
"490","Barrel with 3 wine bottles","Unknown","","","","",""
"491","Giant bird's nest","Unknown","","","","",""
"492","Box crate","Unknown","","","","",""
"493","Brown chest","Unknown","","","","",""
"494","Brown Drawer","Unknown","","","","",""
"495","Brown shipping crate with rope on it","Unknown","","","","",""
"496","Metal container","Unknown","","","","",""
"497","Jar with tied fabric lid","Unknown","","","","",""
"498","Campfire","Unknown","","","","",""
"503","Fancy pillar","Unknown","","","","",""
"505","Black Chocobo Chick","Minion","","","","",""
"506","Tonberry Scholar (+ Darkness Effect)","Unknown","","","","",""
"507","Batraal (b) (Copy)","Unknown","","","","",""
"508","Clockwork Bug","Unknown","","","","",""
"509","Dark Matter Pteroc","Unknown","","","","",""
"511","Orb (Red / Lightning)","Unknown","","","","",""
"512","Orb (Twintania's Hatch)","Unknown","","","","",""
"513","Orb (Green / Bright Lightning)","Unknown","","","","",""
"514","Orb (Watery / Music Symbol)","Unknown","","","","",""
"515","Floor Circle (Twintania's Conflagration)","Unknown","","","","",""
"516","Floor Circle (Ice)","Unknown","","","","",""
"517","Floor Circle (Twintania's Liquid Hell)","Unknown","","","","",""
"518","Bertha Cannon","Unknown","","","","",""
"519","FFXIII Odin","Unknown","","","","",""
"520","Lightning (FFXIII Character)","Unknown","","","","",""
"521","Mythril Verge","Unknown","","","","",""
"523","Dreadknight Bind","Unknown","","","","",""
"524","Barrel of Cannonballs","Unknown","","","","",""
"525","Small Device","Unknown","","","","",""
"527","Wind-Up Shantotto","Minion","","","","",""
"528","Box with Maps","Unknown","","","","",""
"529","Box","Unknown","","","","",""
"530","Crate","Unknown","","","","",""
"531","Standard w/ Torch","Unknown","","","","",""
"532","Book Glow (Green) (?)","Unknown","","","","",""
"533","Bomb Decoration (?)","Unknown","","","","",""
"534","Unicorn (Mount)","Unknown","","","","",""
"535","Small Void Gate","Unknown","","","","",""
"536","Large Void Gate","Unknown","","","","",""
"537","Belias-Egi","Unknown","","","","",""
"538","Gungnir","Unknown","","","","",""
"539","Black Circle","Unknown","","","","",""
"540","Glowing Circle","Unknown","","","","",""
"541","Purple (Book Glow?)","Unknown","","","","",""
"542","T-Pose Default Model","Unknown","","","","",""
"543","T-Pose Default Model","Unknown","","","","",""
"544","T-Pose Default Model","Unknown","","","","",""
"545","T-Pose Default Model","Unknown","","","","",""
"546","T-Pose Default Model","Unknown","","","","",""
"547","Generic Person","Unknown","","","","",""
"548","Generic Person","Character","","","","",""
"549","Generic Person","Unknown","","","","",""
"550","Spotlight","Unknown","","","","",""
"551","Garuda's Plume (Blue Aether)","Unknown","","","","",""
"552","Garuda's Plume (Pink Aether)","Unknown","","","","",""
"553","Garuda's Plume (No Aether)","Unknown","","","","",""
"554","Titan","Unknown","","","","",""
"555","Ancient Wyvern (- Neurolinks)","Unknown","","","","",""
"556","Floor Circle (Conflagration)","Unknown","","","","",""
"557","Floor Circle (Conflagration)","Unknown","","","","",""
"558","Caduceus","Unknown","","","","",""
"559","Blue Cobra (Glowing)","Unknown","","","","",""
"560","Red Cobra (Glowing)","Unknown","","","","",""
"562","Rat (2)","Unknown","","","","",""
"563","Catoblepas","Unknown","","","","",""
"564","Nandi","Unknown","","","","",""
"565","Catoblepas C (Yellow w/ Magenta)","Unknown","","","","",""
"566","Celphie","Unknown","","","","",""
"567","Archdemon","Unknown","","","","",""
"568","Archdemon (II) (Copy)","Unknown","","","","",""
"569","Archdemon (III) (Copy)","Unknown","","","","",""
"570","Okeanis A (Blue/Orange)","Unknown","","","","",""
"571","Ceremony Chocobo","Unknown","","","","",""
"572","Okeanis C (Red/Purple)","Unknown","","","","",""
"573","Okeanis D (Yellow)","Unknown","","","","",""
"574","Gold Bear","Unknown","","","","",""
"575","Tiger","Unknown","","","","",""
"576","Earthen Brickman (Dragon Quest)","Unknown","","","","",""
"577","Wind-Up Brickman","Minion","","","","",""
"578","Minute Mindflayer","Minion","","","","",""
"579","Tight-beaked Parrot","Minion","","","","",""
"580","Wind-Up Amalj'aa","Minion","","","","",""
"581","Wind-Up Ixal","Minion","","","","",""
"582","Wind-Up Kobolder","Minion","","","","",""
"583","Wind-Up Sea Devil","Minion","","","","",""
"584","Wind-Up Edvya","Minion","","","","",""
"585","Wind-Up Sun","Minion","","","","",""
"586","Plush Cushion","Minion","","","","",""
"587","Minion of Light (Minion) (Warrior)","Unknown","","","","",""
"588","Behemoth (Mount)","Unknown","","","","",""
"589","Stone Brickman (Dragon Quest)","Unknown","","","","",""
"590","Golden Brickman (Dragon Quest)","Unknown","","","","",""
"591","Imp (On Fire)","Unknown","","","","",""
"592","Cavalry Drake (Mount)","Unknown","","","","",""
"593","Laurel Goobbue (Mount)","Unknown","","","","",""
"594","Nightmare (Mount)","Unknown","","","","",""
"595","Zu Cockerel","Unknown","","","","",""
"596","Zu Pullet","Unknown","","","","",""
"597","Generic Person","Unknown","","","","",""
"598","Spotted Zu Egg","Unknown","","","","",""
"599","White Zu Egg","Unknown","","","","",""
"600","Leech","Unknown","","","","",""
"601","Bhoot","Unknown","","","","",""
"602","Sandman","Unknown","","","","",""
"603","Manticore","Unknown","","","","",""
"604","Zu","Unknown","","","","",""
"605","Dullahan (NNYNB) (Purple)","Unknown","","","","",""
"606","Zombie War Hound","Unknown","","","","",""
"607","Floating Eye (+ Void Effect)","Unknown","","","","",""
"608","Corrupted Flan","Unknown","","","","",""
"609","Iron Giant","Unknown","","","","",""
"610","Corrupted Slime","Unknown","","","","",""
"611","Garuda's Plume (Green Aether)","Unknown","","","","",""
"612","Corrupted Sprite","Unknown","","","","",""
"613","Pharos Aether Cloud","Unknown","","","","",""
"614","Orb (Green / Lighting w/ Purple Outline)","Unknown","","","","",""
"615","Amalj'aa Beacon","Unknown","","","","",""
"616","Sylph Shroom","Unknown","","","","",""
"617","Snowman","Unknown","","","","",""
"618","Granite Gaoler","Unknown","","","","",""
"619","Voidsent Energy Spear","Unknown","","","","",""
"620","Voidsent Energy Scythe","Unknown","","","","",""
"621","Generic Person","Unknown","","","","",""
"622","Void Portal","Unknown","","","","",""
"623","Minion of Light (Minion) (White Mage)","Unknown","","","","",""
"624","Minion of Light (Minion) (Black Mage)","Unknown","","","","",""
"625","Wind-Up Leader (Minion) (Raubahn)","Unknown","","","","",""
"626","Wind-Up Leader (Minion) (Merlwyb)","Unknown","","","","",""
"627","Wind-Up Leader (Minion) (Kan-E-Senna)","Unknown","","","","",""
"628","Starlight Treant","Unknown","","","","",""
"629","Rock (Gray)","Unknown","","","","",""
"630","Spear stuck in ground","Unknown","","","","",""
"631","Fancy pillar","Unknown","","","","",""
"632","Fancy circular relic","Unknown","","","","",""
"633","Clockwork Spider","Unknown","","","","",""
"634","Princely Hatchling","Minion","","","","",""
"635","Wind","Unknown","","","","",""
"636","Gilgamesh (Bradamante)","Unknown","","","","",""
"637","Jandelaine","Character","","","","",""
"638","Vassago","Unknown","","","","",""
"639","Green Toad (Battle on the Big Bridge)","Unknown","","","","",""
"640","Decaying Gourmand","Unknown","","","","",""
"641","Gobmachine G-VI","Unknown","","","","",""
"642","Leviathan's Tail","Unknown","","","","",""
"643","Fat Chocobo (Mount)","Unknown","","","","",""
